DATAFLOW,LAST UPDATE,freq,unit,NUTS2,TIME_PERIOD,POP_DICHTE,OBS_FLAG
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2013,357.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2014,360.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2015,363.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2016,365.5,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2017,365.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2018,367.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2019,369.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2008,345.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2009,346.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2010,348.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2011,350.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2012,352.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2013,353.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2014,353.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2015,354.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2016,355.4,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2017,353.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2018,353.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE32,2019,354.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2008,274.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2009,276.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2010,278.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2011,282.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2012,283.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2013,284.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2014,285.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2015,286.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2016,287.4,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2017,288.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2018,289.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE33,2019,289.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2008,59.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2009,60.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2010,61.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2011,61.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2012,62.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2013,62.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2014,62.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2015,63.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2016,64.0,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2017,63.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2018,64.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE34,2019,64.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2008,127.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2009,128.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2010,130.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2011,131.7,
