DATAFLOW,LAST UPDATE,freq,unit,LAND,TIME_PERIOD,EMISSIONEN,OBS_FLAG
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2003,99.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2004,97.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2005,96.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2006,95.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2007,95.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2008,94.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2009,93.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2010,92.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2011,91.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2012,91.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2013,89.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2014,88.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2015,89.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2016,88.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2017,87.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2018,85.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2019,82.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2020,80.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2001,107.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2002,106.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2003,113.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2004,105.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2005,94.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2006,104.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2007,102.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2008,92.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2009,95.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2010,99.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2011,90.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2012,84.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2013,87.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2014,78.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2015,75.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2016,78.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2017,72.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2018,73.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2019,69.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FI,2020,65.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2001,98.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2002,96.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2003,96.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2004,94.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2005,94.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2006,92.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2007,91.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2008,90.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2009,91.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2010,88.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2011,85.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2012,86.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2013,85.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2014,80.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2015,80.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2016,83.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2017,83.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2018,79.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2019,79.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,FR,2020,79.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2001,101.8,
